dossier	chambre	stade	fichier	url
JORFDOLE000044288828	senat	Texte de la commission déposé le 20 octobre 2021	leg-ppl21-070.html	https://www.senat.fr/leg/ppl21-070.html
JORFDOLE000044373959	assemblee	Proposition de loi	dyn-15-textes-l15b4624_proposition-loi-	https://www.assemblee-nationale.fr/dyn/15/textes/l15b4624_proposition-loi#
JORFDOLE000044373959	assemblee	Texte adopté en 1ère lecture par l'Assemblée nationale le 25 novembre 2021	dyn-15-textes-l15t0706_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/15/textes/l15t0706_texte-adopte-seance
JORFDOLE000044373959	assemblee	Texte adopté, dans les conditions prévues à l'art 45, al 3, de la Constitution par l'Assemblée nationale le 15 février 2022	dyn-15-textes-l15t0801_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/15/textes/l15t0801_texte-adopte-seance
JORFDOLE000044373959	assemblee	Texte de la CMP déposé le 3 février 2022	dyn-15-textes-l15b4992_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/15/textes/l15b4992_texte-adopte-commission#
JORFDOLE000044373959	assemblee	Texte de la commission déposé le 18 novembre 2021	dyn-15-textes-l15b4699_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/15/textes/l15b4699_texte-adopte-commission#
JORFDOLE000044373959	senat	Texte adopté, dans les conditions prévues à l'art 45, al 2 et 3, de la Constitution par le Sénat le 17 février 2022	leg-tas21-108.html	https://www.senat.fr/leg/tas21-108.html
JORFDOLE000044373959	senat	Texte de la commission déposé le 19 janvier 2022	leg-ppl21-368.html	http://www.senat.fr/leg/ppl21-368.html
JORFDOLE000044373959	senat	Texte modifié en 1ère lecture par le Sénat le 26 janvier 2022	leg-tas21-083.html	https://www.senat.fr/leg/tas21-083.html
JORFDOLE000046027237	assemblee	Texte adopté en 1ère lecture par l'Assemblée nationale le 21 juillet 2022	dyn-16-textes-l16t0003_texte-adopte-seance-	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0003_texte-adopte-seance#
JORFDOLE000046027237	assemblee	Texte adopté, dans les conditions prévues à l'article 45, al. 3, de la Constitution, par l'Assemblée nationale le 3 août 2022	dyn-16-textes-l16t0012_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0012_texte-adopte-seance
JORFDOLE000046027237	assemblee	Texte de la CMP déposé le 1er août 2022	dyn-16-textes-l16b0177_texte-adopte-commission	https://www.assemblee-nationale.fr/dyn/16/textes/l16b0177_texte-adopte-commission
JORFDOLE000046027237	assemblee	Texte de la commission déposé le 13 juillet 2022	dyn-16-textes-l16b0144_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b0144_texte-adopte-commission#
JORFDOLE000046027237	senat	Texte adopté, dans les conditions prévues à l'article 45, al. 2 et 3, de la Constitution, par le Sénat le 3 août 2022	leg-tas21-147.html	https://www.senat.fr/leg/tas21-147.html
JORFDOLE000046027237	senat	Texte de la commission déposé le 25 juillet 2022	leg-pjl21-828.html	https://www.senat.fr/leg/pjl21-828.html
JORFDOLE000046027237	senat	Texte modifié en 1ère lecture par le Séant le 29 juillet 2022	leg-tas21-142.html	https://www.senat.fr/leg/tas21-142.html
JORFDOLE000046330273	assemblee	Texte considéré comme adopté, en 1ère lecture, dans les conditions prévues à l'article 49, alinéa 3, de la Constitution, par l'Assemblée nationale le 31 octobre 2022	dyn-16-textes-l16t0025_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0025_texte-adopte-seance
JORFDOLE000046330273	assemblee	Texte considéré comme adopté, en lecture définitive, dans les conditions prévues à l'article 49, alinéa 3, de la Constitution, par l'Assemblée nationale le 2 décembre 2022	dyn-16-textes-l16t0046_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0046_texte-adopte-seance
JORFDOLE000046330273	assemblee	Texte considéré comme adopté, en nouvelle lecture, dans les conditions prévues à l'article 49, alinéa 3, de la Constitution, par l'Assemblée nationale le 28 novembre 2022	dyn-16-textes-l16t0036_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0036_texte-adopte-seance
JORFDOLE000046330273	senat	Texte modifié en 1ère lecture par le Sénat le 15 novembre 2022	leg-tas22-018.html	https://www.senat.fr/leg/tas22-018.html
JORFDOLE000046330273	senat	Texte rejeté en nouvelle lecture par le Sénat le 29 novembre 2022	leg-tas22-029.html	https://www.senat.fr/leg/tas22-029.html
JORFDOLE000046382160	assemblee	Proposition de loi	dyn-16-textes-l16b0212_proposition-loi-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b0212_proposition-loi#
JORFDOLE000046382160	assemblee	Texte adopté en 1ère lecture par l'Assemblée nationale le 6 octobre 2022	dyn-16-textes-l16t0019_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0019_texte-adopte-seance
JORFDOLE000046382160	assemblee	Texte de la commission déposé le 28 septembre 2022	dyn-16-textes-l16b0278_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b0278_texte-adopte-commission#
JORFDOLE000046382160	senat	Texte adopté sans modification en 1ère lecture par le Sénat le 8 décembre 2022	leg-tas22-034.html	https://www.senat.fr/leg/tas22-034.html
