JORFDOLE000023107348	2010-2011	085
JORFDOLE000023107348	2010-2011	086
JORFDOLE000023107348	2010-2011	192
JORFDOLE000023107348	2010-2011	193
JORFDOLE000023107348	2010-2011	86
JORFDOLE000024418911	2011-2012	005
JORFDOLE000024418911	2011-2012	044
JORFDOLE000024418911	2011-2012	045
JORFDOLE000024418911	2011-2012	130
JORFDOLE000024418911	2011-2012	162
JORFDOLE000024418911	2011-2012	45
JORFDOLE000024633970	2011-2012	012
JORFDOLE000024633970	2011-2012	074
JORFDOLE000024633970	2011-2012	124
JORFDOLE000024633970	2011-2012	128
JORFDOLE000024664321	2011-2012	027
JORFDOLE000024664321	2012-2013	008
JORFDOLE000024664321	2012-2013	009
JORFDOLE000024664321	2012-2013	201
JORFDOLE000024664321	2012-2013	202
JORFDOLE000024664321	2012-2013	9
JORFDOLE000024684762	2011-2012	033
JORFDOLE000024684762	2011-2012	224
JORFDOLE000024684762	2011-2012	320
JORFDOLE000024684762	2011-2012	33
JORFDOLE000024684762	2011-2012	366
JORFDOLE000025197922	2011-2012	290
JORFDOLE000025197922	2011-2012	337
JORFDOLE000025197922	2011-2012	428
JORFDOLE000025197922	2011-2012	438
JORFDOLE000026246096	2011-2012	737
JORFDOLE000026246096	2011-2012	777
JORFDOLE000026246096	2011-2012	778
JORFDOLE000026246096	2012-2013	247
JORFDOLE000026246096	2012-2013	248
JORFDOLE000026349687	2011-2012	751
JORFDOLE000026349687	2011-2012	779
JORFDOLE000026349687	2011-2012	780
JORFDOLE000026349687	2012-2013	089
JORFDOLE000026349687	2012-2013	090
JORFDOLE000026349687	2012-2013	90
JORFDOLE000026459244	2012-2013	019
JORFDOLE000026459244	2012-2013	070
JORFDOLE000026459244	2012-2013	071
JORFDOLE000026459244	2012-2013	19
JORFDOLE000026459244	2012-2013	270
JORFDOLE000026459244	2012-2013	336
JORFDOLE000026795365	2012-2013	365
JORFDOLE000026795365	2012-2013	422
JORFDOLE000026795365	2012-2013	423
JORFDOLE000026795365	2012-2013	681
JORFDOLE000026795365	2012-2013	682
JORFDOLE000026795365	2012-2013	751
JORFDOLE000026886919	2012-2013	096
JORFDOLE000026886919	2012-2013	260
JORFDOLE000026886919	2012-2013	338
JORFDOLE000026886919	2012-2013	339
JORFDOLE000026886919	2012-2013	514
JORFDOLE000026886919	2012-2013	515
JORFDOLE000027383756	2012-2013	725
JORFDOLE000027383756	2012-2013	809
JORFDOLE000027383756	2012-2013	810
JORFDOLE000027383756	2013-2014	282
JORFDOLE000027383756	2013-2014	283
JORFDOLE000027383756	2013-2014	348
JORFDOLE000027617351	2012-2013	851
JORFDOLE000027617351	2013-2014	065
JORFDOLE000027617351	2013-2014	066
JORFDOLE000027617351	2013-2014	307
JORFDOLE000027617351	2013-2014	308
JORFDOLE000027617351	2013-2014	356
JORFDOLE000027617351	2013-2014	66
JORFDOLE000027654910	2012-2013	788
JORFDOLE000027654910	2012-2013	807
JORFDOLE000027654910	2012-2013	808
JORFDOLE000027654910	2013-2014	443
JORFDOLE000027654910	2013-2014	444
JORFDOLE000027654910	2013-2014	760
JORFDOLE000027654910	2013-2014	761
JORFDOLE000027750379	2013-2014	084
JORFDOLE000027750379	2013-2014	085
JORFDOLE000027750379	2013-2014	563
JORFDOLE000027750379	2013-2014	564
JORFDOLE000027750379	2013-2014	745
JORFDOLE000027750379	2013-2014	746
JORFDOLE000027750379	2013-2014	85
JORFDOLE000027926565	2013-2014	028
JORFDOLE000027926565	2013-2014	201
JORFDOLE000027926565	2013-2014	202
JORFDOLE000028196878	2013-2014	279
JORFDOLE000028196878	2013-2014	386
JORFDOLE000028196878	2013-2014	387
JORFDOLE000028196878	2013-2014	743
JORFDOLE000028196878	2013-2014	744
JORFDOLE000028196878	2013-2014	774
JORFDOLE000028196878	2013-2014	775
JORFDOLE000029039475	2013-2014	804
JORFDOLE000029039475	2014-2015	322
JORFDOLE000029039475	2014-2015	323
JORFDOLE000029039475	2015-2016	101
JORFDOLE000029039475	2015-2016	102
JORFDOLE000029039475	2015-2016	211
JORFDOLE000029134377	2013-2014	771
JORFDOLE000029134377	2014-2015	059
JORFDOLE000029134377	2014-2015	060
JORFDOLE000029134377	2014-2015	123
JORFDOLE000029134377	2014-2015	60
JORFDOLE000029224335	2013-2014	720
JORFDOLE000029224335	2013-2014	741
JORFDOLE000029224335	2013-2014	742
JORFDOLE000029310724	2014-2015	016
JORFDOLE000029310724	2014-2015	263
JORFDOLE000029310724	2014-2015	264
JORFDOLE000029310724	2014-2015	529
JORFDOLE000029310724	2014-2015	530
JORFDOLE000029589477	2014-2015	406
JORFDOLE000029589477	2014-2015	592
JORFDOLE000029589477	2014-2015	653
JORFDOLE000029589477	2014-2015	654
JORFDOLE000029589477	2015-2016	111
JORFDOLE000029589477	2015-2016	209
JORFDOLE000029589477	2015-2016	233
JORFDOLE000029883713	2014-2015	300
JORFDOLE000029883713	2014-2015	370
JORFDOLE000029883713	2014-2015	371
JORFDOLE000029883713	2014-2015	541
JORFDOLE000029883713	2014-2015	542
JORFDOLE000030513128	2014-2015	476
JORFDOLE000030513128	2014-2015	501
JORFDOLE000030513128	2014-2015	502
JORFDOLE000030513128	2014-2015	633
JORFDOLE000030513128	2014-2015	634
JORFDOLE000030536694	2014-2015	422
JORFDOLE000030536694	2014-2015	522
JORFDOLE000030536694	2014-2015	523
JORFDOLE000030536694	2014-2015	711
JORFDOLE000030536694	2014-2015	712
JORFDOLE000030962821	2014-2015	661
JORFDOLE000030962821	2015-2016	121
JORFDOLE000030962821	2015-2016	122
JORFDOLE000030962821	2015-2016	839
JORFDOLE000030962821	2015-2016	840
