dossier	type	rang	url
JORFDOLE000031589829	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2015/ei_republique_numerique_cm_09.12.2015.pdf.pdf
JORFDOLE000031974277	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2016/avis_ce_jusd1532276l_cm_03.02.2016.pdf
JORFDOLE000031974277	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2016/ei_financement_crime_organise_terrorisme_procedure_penale_cm_03.02.2016.pdf.pdf
JORFDOLE000032319792	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2016/avis_ce_fcpm1605542l_cm_30.03.2016.pdf
JORFDOLE000032319792	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2016/ei_transparence_corruption_modernisation_vie_economique_cm_30.03.2016.pdf.pdf
JORFDOLE000032669047	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2016/avis_ce_einc1613746l_cm_08.06.2016.pdf
JORFDOLE000032669047	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2016/ei_ratif_ord_2016_301_2016_351_code_consommation_cm_08.06.2016.pdf.pdf
JORFDOLE000035518975	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2017/avis_ce_pjl_interdiction_recherche_exploitation_hydrocarbures_cm_6.09.2017.pdf
JORFDOLE000035518975	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2017/ei_pjl_interdiction_recherche_exploitation_hydrocarbures_cm_6.09.2017.pdf
JORFDOLE000036195293	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2017/avis_ce_pjl_protection_donnees_personnelles_cm_13.12.2017.pdf
JORFDOLE000036195293	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2017/ei_pjl_protection_donnees_personnelles_cm_13.12.2017.pdf
JORFDOLE000036562265	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2018/avis_ce_pjl_alimentation_cm_31.01.2018.pdf
JORFDOLE000036562265	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2018/ei_pjl_alimentation_cm_31.01.2018.pdf
JORFDOLE000036769798	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/Files/autour-de-la-loi/legislatif-et-reglementaire/avis-du-ce/2018/avis_ce_terl1805474_cm_4.04.2018.pdf
